STATION_ID;Stationshoehe;Geogr.Breite;Geogr.Laenge;von_datum;bis_datum;Stationsname
388;510.0;51.1201;8.454;19730315;19910630;Berleburg, Bad-Girkhausen
4239;162.0;50.9279;7.1709;19950201;20061231;Rösrath-Forsbach
391;450.0;51.0698;8.2888;19701125;20061231;Berleburg, Bad-Wingeshausen
5480;85.0;51.5763;7.8879;19750101;;Werl
5338;65.0;51.6165;7.3231;19940101;19951231;Waltrop (im Depot)
1308;110.0;51.45;7.1167;19400501;19861231;Essen-Steele-Haferfeld
4173;37.0;52.2742;7.4567;19911101;20000531;Rheine
3753;56.0;52.2042;7.1784;19640101;19930331;Ochtrup
4649;214.0;50.8698;7.3228;19361211;19620731;Seelscheid
13696;60.0;51.5966;7.4049;20070718;;Waltrop-Abdinghof
2173;60.0;51.589;7.1548;19760101;20071231;Herten
2666;50.0;50.8884;7.072;19621018;19931231;Köln-Porz-Eil
372;67.0;50.9552;7.1018;19170101;20140701;Bergisch Gladbach -Refrath
2589;420.0;51.05;8.0667;19810902;20061231;Kirchhundem-Kohlhagen -Wirme
4325;236.0;50.8588;7.5048;19870723;20061231;Ruppichteroth-Dörgen
5386;28.0;51.6;6.15;19770101;20061231;Weeze-Hees
1298;113.0;50.8306;6.333;18960801;;Eschweiler-Weisweiler
1307;37.0;51.5;6.9167;19500901;19810315;Essen-Dellwig
3798;442.0;51.2827;8.4797;19020701;;Olsberg-Brunskappel
1245;280.0;51.3037;7.3145;19210401;20041231;Ennepetal-Milspe
5203;220.0;51.3668;7.1136;19861101;20040731;Velbert-Langenberg
3228;506.0;51.0976;7.667;19790801;20070918;Meinerzhagen (A)
5347;236.0;51.504;9.1118;19740619;;Warburg
4368;93.0;51.7098;8.5796;19331001;;Salzkotten
4385;66.0;50.7616;7.1711;19310101;19940731;Sankt Augustin-Hangelar
2332;58.0;50.65;7.2158;18910101;;Honnef, Bad
1080;54.0;51.2312;6.8662;19560401;20061231;Düsseldorf-Gerresheim
1084;31.0;51.394;6.7026;19940501;20070531;Duisburg-Friemersheim
5271;96.0;51.7577;8.2637;18910801;;Wadersloh
1086;33.0;51.4101;6.7521;19490101;20061231;Duisburg-Hochfeld
555;101.0;51.4789;7.2697;18880101;;Bochum
3766;180.0;51.9667;8.65;19370101;19951231;Oerlinghausen
1766;48.0;52.1344;7.6969;19010601;;Münster/Osnabrück
5346;225.0;51.4962;9.1736;19901122;19991231;Warburg (A)
2379;68.0;52.2667;7.7167;19931109;20021231;Ibbenbüren
1085;31.0;51.5;6.8;19310101;19701231;Duisburg-Hamborn
2421;222.0;51.3629;7.6614;19850613;20040630;Iserlohn-Roden
5352;64.0;51.8903;7.9038;19690501;20021231;Warendorf-Hötmar
1046;72.0;51.7585;7.7528;19620215;;Drensteinfurt
13671;221.0;50.9655;7.2753;20070301;;Overath-Böke
3104;52.0;51.6167;7.5333;19510101;19871231;Lünen
15919;97.0;51.7633;8.5551;18910801;19970630;Delbrück (Mitte)
13713;380.0;51.0899;7.629;20070910;;Meinerzhagen-Redlendorf
1998;21.0;51.7489;6.491;19850709;19960630;Hamminkeln-Mehrhoog
1996;96.0;51.6333;7.8667;19640812;20061231;Hamm-Rhynern
3691;33.0;51.4833;6.8667;18970701;20021231;Oberhausen (Kaisergarten )
1921;205.0;51.272;7.5345;19950601;20051231;Hagen-Rummenohl
554;23.0;51.8293;6.5365;19451001;;Bocholt-Liedern (Wasserwerk)
1962;417.0;51.1129;8.6276;19861007;20080630;Hallenberg
4962;570.0;51.2452;8.0453;19360101;20181231;Sundern-Röhrenspring
187;265.0;51.4188;7.9126;19360401;;Arnsberg-Holzen
4917;145.0;51.8;8.2;19681001;19820331;Stromberg, Kreis Warendorf
2809;108.0;51.9858;8.8093;19360101;20061231;Lage, Kreis Lippe
4995;157.0;52.2167;7.8;19790201;20070331;Tecklenburg
4100;109.0;51.6243;7.182;19530701;19731231;Recklinghausen
3060;110.0;50.9667;7.3667;19050423;19760731;Loope
1965;40.0;51.7348;7.2048;19360501;20091231;Haltern
2947;286.0;51.1333;8.0348;18911211;;Lennestadt-Theten
4401;81.0;51.6334;8.1872;19480301;19800630;Sassendorf, Bad-Ostinghausen
3774;70.0;52.2042;8.7982;19830309;20110331;Oeynhausen, Bad
1911;56.0;51.5833;7.3167;19510101;19871231;Habinghorst (Pumpwerk)
3239;102.0;50.8333;6.7167;19460101;19770630;Mellerhöfe
2;138.0;50.8066;6.0996;19140101;20061231;Aachen (Kläranlage)
2629;46.0;51.7612;6.0954;18480101;;Kleve
79;160.0;50.6718;7.0155;18910101;;Alfter-Volmershoven
3029;73.0;51.6684;8.3013;19860321;20061231;Lippstadt
3858;105.0;51.7333;8.7333;19730725;19810731;Paderborn
1032;120.0;51.512;7.5345;19410101;19990930;Dortmund
3031;92.0;51.6336;8.3945;19801201;;Lippstadt-Bökenförde
631;38.0;51.55;6.95;19550101;19871231;Bottrop
5305;41.0;51.0831;6.02;19910129;20061231;Waldfeucht-Haaren
5351;53.0;51.9499;8.0103;19490901;20161231;Warendorf
558;128.0;51.45;7.2;19490301;19671201;Bochum-Weitmar
871;87.0;51.9618;7.1585;19000901;;Coesfeld
3980;49.0;52.262;8.907;19820701;;Porta Westfalica-Barkhausen
1303;150.0;51.4041;6.9677;18970801;;Essen-Bredeney
666;279.0;51.2437;7.4089;19410101;19970630;Breckerfeld (Ennepetalsperre)
602;60.0;50.7167;7.1;18900701;19970731;Bonn-Poppelsdorf
2948;320.0;51.0959;8.016;19860626;20061231;Lennestadt-Bilstein
386;445.0;51.0454;8.3851;19691101;19861126;Berleburg, Bad
2936;138.0;52.0424;8.9053;19310501;;Lemgo
3913;43.0;52.3817;9.0176;18960901;;Petershagen
5699;312.0;51.5427;8.7784;19330501;;Wünnenberg-Eilern
603;159.0;50.7349;7.1931;19860701;;Bonn-Roleber
470;101.0;51.6709;9.3756;19310101;20061231;Beverungen
1632;62.0;51.9408;6.9929;19881212;20011231;Gescher
4020;61.0;50.9922;6.7916;19010601;;Pulheim
5278;628.0;50.5;6.3333;19651127;19730913;Wahlerscheid
644;150.0;51.7049;9.1738;18910601;;Brakel
599;62.0;50.7055;7.1467;19320101;19990302;Bonn-Friesdorf
1920;100.0;51.4129;7.4895;19780601;20071231;Hagen-Fley
1923;113.0;51.3529;7.4489;19671101;20040131;Hagen-Wehringhausen
42;70.0;51.7736;7.8738;19470201;20101231;Ahlen in Westfalen
13700;205.0;51.3329;7.3411;20070801;;Gevelsberg-Oberbröking
6228;78.0;50.9634;6.128;19700715;19960331;Geilenkirchen
325;105.0;51.7997;8.0297;19370101;20060331;Beckum-Neubeckum
2667;92.0;50.8646;7.1575;19490101;;Köln-Bonn
718;435.0;51.35;8.65;19700416;20040831;Brilon-Bontkirchen
5718;275.0;51.2333;7.2833;19570301;20061231;Wuppertal-Herbringhausen
1893;76.0;51.9;8.3667;19690101;19870930;Gütersloh (Wasserwerk)
719;310.0;51.4587;8.6251;19960101;20061031;Brilon-Niederalme
3168;318.0;51.0973;7.5225;19891001;20061231;Marienheide (Kläranlage Nord)
2869;34.0;51.3;6.7;19550201;19590201;Lank
4766;294.0;51.3667;7.9667;19050430;19790101;Sorpetalsperre
667;410.0;51.2998;7.4625;19361101;19990331;Breckerfeld-Zurstraße
7330;159.0;51.4634;7.978;20050515;;Arnsberg-Neheim
1201;85.0;50.9281;6.5646;19470701;20061231;Elsdorf/Erftkreis
3081;65.0;52.3452;8.6477;18900901;;Espelkamp-Isenstedt
1088;26.0;51.4667;6.8;19500101;19801231;Duisburg-Meiderich (A)
617;48.0;51.8728;6.8862;18911001;;Borken in Westfalen
1918;291.0;51.2976;7.4136;19320801;20030831;Hagen (Hasper Talsperre)
5619;360.0;51.1636;7.4234;18980601;;Wipperfürth-Gardeweg
1054;270.0;51.6693;9.0606;19050101;20110630;Driburg, Bad-Dringenberg
5719;235.0;51.2051;7.2;19490101;20091210;Remscheid
3019;243.0;51.0167;7.3833;18920801;19871231;Lindlar
3498;339.0;51.2833;7.7833;19620401;19820331;Neuenrade
1087;21.0;51.4634;6.7321;19500701;19931231;Duisburg-Laar
4691;63.0;50.7994;7.2048;19551007;20061231;Siegburg
3465;613.0;50.8945;8.2426;18770601;;Netphen (Lahnhof)
2483;839.0;51.1803;8.4891;19181201;;Kahler Asten
3276;153.0;51.25;6.9667;19310101;20130331;Mettmann
3028;157.0;51.7855;8.8388;18970501;;Lippspringe, Bad
5716;197.0;51.2801;7.202;19490801;19980131;Wuppertal-Barmen
901;480.0;50.3605;6.4807;19410101;20061031;Dahlem-Kronenburg
1590;37.0;51.4942;6.2463;18960701;;Geldern-Walbeck
780;252.0;51.544;8.5615;19880608;20061231;Büren
1768;71.0;51.0401;6.5896;19300901;20060930;Grevenbroich-Neurath
